Symbol,% Chg(Open),Last Trade,Volume    ,DM Average (ADX) 14 Day,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,Bollinger Band®(Middle),Industry                            ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
LYG   ,-0.89      ,3.3201    ,2780200   ,11.38                  ,25.99    ,59.00B    ,8              ,+0.06                     ,30.84     ,3.41      ,-0.01,-95.61      ,25.25                  ,12.83             ,3.42                   ,Banks                               ,NYSE    ,LLOYDS BANKING GROUP PLC ,Diversified Banks                    ,0.15    ,3.38          ,3.32  ,133400  ,4149779      ,6574469     ,67.00                   ,42.29                  ,No        ,3.35  ,3.35  ,3.33  ,74.45                 ,11900065      ,7707044    ,23.36                    ,36.07                 ,No                ,Financials            ,4.50          ,3.38      ,3.31  ,68900   ,11032882    ,68.99                     ,25.20                  ,14.07M         ,No                  ,-- ,--       ,--                 ,--             ,50.00                 ,--              ,50.00                  ,--              ,2                 ,3.00              ,2.93B     ,33.46B ,2.93B   ,71.46B            ,0.13    ,0.13      ,0.04      ,--          ,0.09      ,-0.07     ,-0.11     ,-11.17                      ,16.84   ,299.82            ,-0.0599,-0.0599                ,-1.30                      ,+0.2422                ,+0.26                   ,-22.39               ,+70.95               ,+16.22               ,+1.15     ,3.39         ,3.54     ,1.07                   ,3.29      ,2.47     ,74.75                   ,3.35                         ,-1.77   ,-0.03 ,+0.1501                ,-0.02                 ,-0.0427                ,+7.72                    ,+9.03                ,-28.80               ,+9.68                ,+5.01             ,0               ,3.42      ,3.58    ,3.35        ,3.29    ,-0.84                ,0.0299         ,-0.0299  ,-0.89 ,+0.002                  ,-0.0445                  ,-1.25                    ,+0.0089               ,-9.95                ,+20.81               ,+18.47               ,+0.29             ,3.54       ,4.42      ,3.35     ,3.17   ,0.04         ,75.00            ,-0.0101       ,1.12              ,--                   ,25.99                    ,1.09            ,--           ,--                   ,7.22     ,3.41      ,3.40      ,3.17       ,3.41      ,3.30       ,39.98                ,50.60     ,31.03                   ,4.39 ,3.52                ,0.02                      ,0.05           ,3.38      ,3.11       ,3.43      ,3.37      ,3.29       ,47.97     ,52.36                ,14.83         ,21.39,0.01       ,-0.01          ,0.09                      ,3.42      ,3.26       ,3.36      ,51.19                ,23.01                   ,32.89   ,3.33                   ,-0.03          ,0.04                      ,21126.33   , 
NWL   ,-1.17      ,46.40     ,1768302   ,12.72                  ,37.63    ,22.66B    ,79             ,-0.31                     ,25.03     ,47.60     ,-0.26,-94.11      ,20.45                  ,-16.72            ,47.99                  ,Household Durables                  ,NYSE    ,NEWELL BRANDS INC        ,Housewares & Specialties             ,0.76    ,46.98         ,46.39 ,200     ,2960993      ,4082745     ,59.72                   ,43.31                  ,Yes       ,46.95 ,47.10 ,46.40 ,96.45                 ,3187623       ,4089702    ,55.47                    ,43.24                 ,No                ,Consumer Discretionary,1.60          ,46.98     ,46.22 ,900     ,3117172     ,47.86                     ,56.73                  ,140.12M        ,No                  ,B  ,****     ,B+                 ,72.22          ,16.67                 ,11.11           ,--                     ,--              ,18                ,1.39              ,527.80M   ,13.26B ,527.80M ,482.4M            ,1.25    ,1.25      ,1.29      ,3.04        ,1.36      ,1.63      ,1.37      ,11.52                       ,3.98    ,248.39            ,-0.58  ,-0.75                  ,-2.11                      ,-1.12                  ,-0.94                   ,+24.90               ,+192.69              ,-1.77                ,+1.01     ,47.35        ,49.44    ,8.35                   ,46.59     ,43.11    ,79.55                   ,3.09                         ,-1.23   ,-0.03 ,+1.40                  ,-0.03                 ,-1.22                  ,-2.33                    ,+5.63                ,+66.56               ,+6.06                ,+8.01             ,6               ,48.04     ,50.17   ,46.59       ,46.59   ,-3.11                ,0.70           ,-0.55    ,-0.06 ,-0.15                   ,-1.01                    ,-2.53                    ,-0.44                 ,+8.15                ,+94.90               ,-9.72                ,+2.57             ,49.19      ,55.45     ,46.59    ,43.43  ,0.88         ,61.00            ,-0.18         ,1.62              ,--                   ,37.63                    ,--              ,99.37        ,15.43                ,1.71     ,47.47     ,47.61     ,47.67      ,47.71     ,47.80      ,31.39                ,46.67     ,23.46                   ,5.89 ,49.29               ,-2.00                     ,-0.47          ,47.49     ,49.11      ,47.84     ,47.69     ,47.85      ,44.32     ,47.98                ,24.86         ,10.24,-0.03      ,2.17           ,0.30                      ,47.99     ,47.09      ,47.69     ,46.64                ,14.12                   ,15.20   ,46.70                  ,-2.14          ,0.09                      ,-6915.06   , 
RHI   ,-2.14      ,45.61     ,1268192   ,12.85                  ,17.55    ,5.99B     ,99             ,-1.52                     ,30.32     ,47.82     ,-0.26,-88.88      ,33.77                  ,-8.69             ,48.21                  ,Professional Services               ,NYSE    ,ROBERT HALF INTL INC     ,Human Resource & Employment Services ,0.96    ,46.86         ,45.60 ,300     ,1014863      ,1302657     ,124.96                  ,97.35                  ,Yes       ,46.60 ,46.62 ,45.61 ,91.49                 ,1002318       ,1217689    ,126.53                   ,104.15                ,No                ,Industrials           ,2.00          ,46.86     ,45.09 ,200     ,1019195     ,92.30                     ,124.43                 ,48.40M         ,No                  ,D  ,***      ,B+                 ,21.43          ,14.29                 ,50.00           ,7.14                   ,7.14            ,14                ,2.64              ,343.39M   ,5.25B  ,343.39M ,127.8M            ,2.67    ,2.67      ,2.69      ,2.68        ,2.26      ,1.83      ,1.50      ,11.83                       ,6.54    ,320.15            ,-1.26  ,-3.22                  ,-2.79                      ,+1.65                  ,-2.98                   ,-16.20               ,+76.34               ,+29.97               ,+1.16     ,48.83        ,49.72    ,4.37                   ,46.74     ,34.34    ,66.23                   ,5.75                         ,-2.68   ,-0.26 ,-3.88                  ,-0.04                 ,-1.36                  ,+3.64                    ,-3.46                ,+22.61               ,+0.60                ,+32.85            ,2               ,48.94     ,50.98   ,46.74       ,46.74   ,-10.75               ,1.01           ,-1.00    ,-0.55 ,-0.72                   ,-1.35                    ,-2.82                    ,-1.44                 ,+7.08                ,+39.46               ,+30.26               ,+19.91            ,49.72      ,50.98     ,46.74    ,45.00  ,1.53         ,31.00            ,-0.52         ,0.75              ,--                   ,17.55                    ,6.86            ,0.08         ,17.48                ,1.14     ,47.80     ,48.01     ,46.01      ,47.92     ,46.67      ,37.59                ,47.75     ,42.09                   ,11.12,50.01               ,-0.45                     ,-2.70          ,48.18     ,42.82      ,48.23     ,47.85     ,46.21      ,42.96     ,50.29                ,39.89         ,28.12,-0.01      ,-2.77          ,-1.74                     ,48.21     ,47.61      ,47.67     ,46.79                ,18.09                   ,43.46   ,46.41                  ,-1.93          ,-1.75                     ,-1290.73   , 
EPC   ,-1.47      ,71.81     ,472673    ,15.21                  ,22.81    ,4.17B     ,82             ,-0.61                     ,30.12     ,73.70     ,-0.86,-83.74      ,33.87                  ,-31.91            ,73.99                  ,Personal Products                   ,NYSE    ,EDGEWELL PERSONAL CARE CO,Personal Products                    ,--      ,72.70         ,71.78 ,200     ,389389       ,507149      ,120.83                  ,92.78                  ,No        ,72.88 ,73.33 ,71.81 ,93.48                 ,380337        ,495208     ,123.71                   ,95.01                 ,Yes               ,Consumer Staples      ,--            ,72.70     ,71.03 ,100     ,387941      ,97.34                     ,121.29                 ,28.55M         ,No                  ,C  ,***      ,B-                 ,13.33          ,6.67                  ,80.00           ,--                     ,--              ,15                ,2.67              ,178.70M   ,2.36B  ,178.70M ,57.42M            ,3.19    ,2.99      ,-4.44     ,3.79        ,5.69      ,6.47      ,6.22      ,7.89                        ,7.57    ,393.67            ,-0.89  ,-1.47                  ,-1.75                      ,-4.04                  ,-4.44                   ,-28.98               ,+39.04               ,-13.35               ,+0.79     ,73.63        ,77.23    ,14.67                  ,72.52     ,72.52    ,66.13                   ,2.79                         ,-1.22   ,+0.18 ,-1.39                  ,-0.03                 ,-1.67                  ,-5.27                    ,-0.40                ,-1.09                ,+0.21                ,+10.55            ,6               ,74.94     ,82.05   ,72.52       ,72.52   ,1.49                 ,1.52           ,-1.07    ,+0.25 ,-0.44                   ,-1.29                    ,-2.24                    ,-3.38                 ,-9.18                ,+1.82                ,-8.02                ,+4.04             ,77.23      ,88.00     ,72.52    ,72.52  ,2.30         ,32.00            ,-0.78         ,0.98              ,--                   ,24.31                    ,--              ,84.43        ,19.16                ,1.77     ,73.43     ,75.98     ,76.50      ,74.02     ,76.17      ,35.32                ,43.82     ,33.06                   ,16.26,75.70               ,-3.94                     ,-5.13          ,76.00     ,78.18      ,73.81     ,75.20     ,--         ,41.03     ,44.93                ,33.85         ,11.36,-0.74      ,-4.20          ,-3.27                     ,73.99     ,76.61      ,75.44     ,42.84                ,16.34                   ,18.83   ,72.29                  ,-3.69          ,-3.88                     ,-1669.79   , 
NMR   ,0.00       ,6.12      ,149218    ,16.37                  ,15.71    ,23.60B    ,5              ,-0.54                     ,29.27     ,6.39      ,-0.07,-95.93      ,71.43                  ,17.68             ,6.47                   ,Capital Markets                     ,NYSE    ,NOMURA HOLDINGS INC      ,Investment Banking & Brokerage       ,0.11    ,6.24          ,6.11  ,800     ,149307       ,197314      ,99.94                   ,75.62                  ,No        ,6.12  ,6.13  ,6.12  ,27.56                 ,126064        ,197210     ,118.37                   ,75.66                 ,No                ,Financials            ,1.70          ,6.24      ,6.095 ,2500    ,124593      ,149.29                    ,119.76                 ,945.00K        ,No                  ,-- ,--       ,--                 ,50.00          ,--                    ,50.00           ,--                     ,--              ,2                 ,2.00              ,1.19B     ,14.28B ,1.19B   ,3.82B             ,0.40    ,0.30      ,0.50      ,--          ,0.46      ,0.24      ,0.03      ,12.24                       ,0.08    ,400.27            ,-0.12  ,-0.13                  ,-3.55                      ,+0.4383                ,-2.56                   ,+10.94               ,+57.71               ,+81.83               ,+1.78     ,6.25         ,6.71     ,0.67                   ,6.18      ,3.33     ,28.57                   ,5.29                         ,-1.92   ,-0.12 ,+0.16                  ,-0.06                 ,-0.2545                ,+7.56                    ,+5.76                ,+3.89                ,+6.27                ,+6.45             ,2               ,6.52      ,6.80    ,6.18        ,6.18    ,-2.765               ,0.01           ,0.00     ,-1.92 ,-0.034                  ,-0.23                    ,-3.92                    ,-0.1637               ,+43.75               ,+10.88               ,+40.90               ,+0.42             ,6.71       ,6.80      ,6.18     ,5.85   ,0.035        ,63.00            ,-0.025        ,0.68              ,--                   ,21.12                    ,0.98            ,289.95       ,--                   ,1.67     ,6.36      ,6.50      ,5.95       ,6.42      ,6.10       ,34.54                ,50.18     ,40.26                   ,4.07 ,6.77                ,-0.27                     ,0.08           ,6.42      ,5.28       ,6.44      ,6.39      ,5.99       ,44.64     ,51.88                ,30.86         ,6.58 ,-0.03      ,-0.48          ,0.16                      ,6.47      ,6.19       ,6.34      ,47.23                ,21.27                   ,9.57    ,6.17                   ,-0.39          ,-0.36                     ,360.74     , 
ABT   ,-1.03      ,44.07     ,3669026   ,16.64                  ,47.45    ,76.84B    ,67             ,+0.08                     ,31.16     ,44.65     ,0.03 ,-98.50      ,4.00                   ,7.49              ,44.91                  ,Health Care Equipment & Supplies    ,NYSE    ,ABBOTT LABORATORIES      ,Health Care Equipment                ,1.06    ,44.47         ,44.06 ,500     ,5815660      ,8477015     ,63.09                   ,43.28                  ,Yes       ,44.53 ,44.55 ,44.07 ,65.53                 ,6201505       ,8469794    ,59.16                    ,43.32                 ,No                ,Health Care           ,2.40          ,44.47     ,44.05 ,2900    ,6219189     ,46.12                     ,58.99                  ,258.99M        ,No                  ,B  ,***      ,B+                 ,50.00          ,16.67                 ,33.33           ,--                     ,--              ,18                ,1.83              ,1.40B     ,20.85B ,1.40B   ,1.73B             ,0.94    ,0.94      ,2.93      ,2.43        ,1.49      ,1.63      ,3.76      ,11.39                       ,6.71    ,278.04            ,-0.40  ,-0.35                  ,-0.98                      ,+2.99                  ,+2.82                   ,+0.48                ,+69.74               ,+15.13               ,+0.96     ,44.61        ,45.84    ,1.29                   ,44.08     ,36.76    ,96.00                   ,1.53                         ,-0.90   ,+0.06 ,+5.44                  ,-0.01                 ,-0.51                  ,+7.21                    ,+16.52               ,+23.56               ,+16.37               ,+6.71             ,2               ,44.83     ,45.84   ,44.08       ,44.08   ,-7.29                ,0.48           ,-0.46    ,+0.13 ,+0.04                   ,-0.44                    ,-1.13                    ,+1.22                 ,+8.85                ,+37.10               ,+6.36                ,+2.98             ,45.84      ,45.84     ,44.08    ,38.34  ,0.50         ,86.00            ,-0.02         ,2.04              ,--                   ,47.45                    ,7.88            ,99.83        ,18.27                ,3.69     ,44.59     ,44.05     ,41.41      ,44.66     ,42.78      ,40.36                ,54.60     ,17.49                   ,1.50 ,45.75               ,-0.66                     ,3.29           ,43.50     ,41.77      ,44.74     ,43.88     ,42.54      ,53.12     ,56.19                ,9.70          ,14.74,0.21       ,1.64           ,4.77                      ,44.91     ,41.69      ,43.60     ,56.16                ,14.40                   ,18.24   ,44.07                  ,-0.93          ,1.69                      ,6115.75    , 
BC    ,-1.65      ,58.55     ,730247    ,17.35                  ,19.94    ,5.35B     ,62             ,-1.03                     ,31.43     ,60.44     ,0.06 ,-98.30      ,3.54                   ,22.14             ,60.56                  ,Leisure Products                    ,NYSE    ,BRUNSWICK CORP           ,Leisure Products                     ,0.66    ,59.77         ,58.54 ,100     ,832485       ,931053      ,87.72                   ,78.43                  ,No        ,59.53 ,60.04 ,58.55 ,99.50                 ,737929        ,837391     ,98.96                    ,87.21                 ,Yes               ,Consumer Discretionary,1.10          ,59.77     ,58.49 ,300     ,724562      ,86.59                     ,100.78                 ,50.61M         ,No                  ,B  ,--       ,B                  ,66.67          ,16.67                 ,16.67           ,--                     ,--              ,18                ,1.50              ,276.00M   ,4.49B  ,276.00M ,89.53M            ,3.00    ,3.00      ,2.56      ,4.01        ,2.58      ,8.20      ,0.54      ,16.25                       ,6.15    ,311.38            ,-1.22  ,-2.68                  ,-1.30                      ,+5.70                  ,+1.11                   ,+21.82               ,+147.54              ,+36.32               ,+1.87     ,61.46        ,61.72    ,1.70                   ,58.87     ,41.19    ,96.46                   ,3.66                         ,-2.05   ,-0.24 ,+3.42                  ,-0.04                 ,-0.85                  ,+10.54                   ,+9.89                ,+39.81               ,+12.52               ,+20.28            ,6               ,61.52     ,61.74   ,59.42       ,58.87   ,-17.30               ,1.50           ,-0.98    ,-0.40 ,-0.62                   ,-0.79                    ,-1.41                    ,+0.65                 ,+29.19               ,+85.88               ,+26.24               ,+8.58             ,61.72      ,61.74     ,59.42    ,53.95  ,1.55         ,81.00            ,-0.05         ,0.86              ,--                   ,19.94                    ,6.20            ,30.32        ,14.91                ,1.19     ,60.66     ,60.13     ,54.66      ,60.44     ,56.89      ,40.09                ,52.93     ,27.72                   ,1.70 ,61.93               ,-0.60                     ,3.25           ,59.32     ,51.85      ,60.69     ,59.39     ,56.06      ,48.77     ,55.35                ,27.35         ,33.61,0.31       ,-1.42          ,3.41                      ,60.56     ,56.43      ,58.88     ,52.77                ,15.81                   ,58.63   ,59.18                  ,-1.53          ,-1.11                     ,2424.90    , 
BWA   ,-2.94      ,38.92     ,2722128   ,17.81                  ,73.35    ,8.59B     ,133            ,-1.58                     ,25.94     ,41.35     ,-0.36,-95.51      ,16.45                  ,-9.52             ,41.83                  ,Auto Components                     ,NYSE    ,BORGWARNER INC           ,Auto Parts & Equipment               ,0.56    ,40.34         ,38.92 ,100     ,1992717      ,2248966     ,136.55                  ,120.99                 ,Yes       ,40.10 ,40.19 ,38.93 ,94.20                 ,1815648       ,1822314    ,149.87                   ,149.32                ,No                ,Consumer Discretionary,1.40          ,40.34     ,38.67 ,400     ,1820374     ,69.82                     ,149.48                 ,82.16M         ,No                  ,C  ,***      ,B                  ,33.33          ,14.29                 ,38.10           ,4.76                   ,9.52            ,21                ,2.43              ,160.20M   ,9.07B  ,160.20M ,212.86M           ,0.55    ,0.55      ,2.70      ,3.41        ,2.86      ,2.70      ,2.09      ,7.14                        ,1.31    ,335.96            ,-1.42  ,-3.03                  ,-3.56                      ,+1.53                  ,-2.50                   ,-29.01               ,+3.44                ,+43.15               ,+1.60     ,41.95        ,44.24    ,4.05                   ,39.42     ,27.52    ,83.55                   ,7.17                         ,-3.52   ,-0.24 ,-0.98                  ,-0.07                 ,-1.67                  ,+3.94                    ,+2.62                ,-29.56               ,+6.31                ,+4.73             ,2               ,42.29     ,44.24   ,39.42       ,39.42   ,-11.15               ,1.27           ,-1.18    ,-0.59 ,-0.65                   ,-1.49                    ,-3.97                    ,-1.03                 ,+10.47               ,+12.80               ,+19.67               ,+1.81             ,44.24      ,44.24     ,39.42    ,39.17  ,1.52         ,62.00            ,-0.25         ,3.15              ,--                   ,73.35                    ,8.14            ,61.89        ,11.84                ,0.95     ,41.19     ,41.64     ,39.20      ,41.50     ,40.09      ,34.16                ,47.54     ,40.28                   ,4.49 ,44.03               ,-1.56                     ,-2.18          ,41.38     ,36.88      ,41.71     ,41.30     ,39.67      ,42.57     ,50.42                ,41.62         ,19.92,-0.06      ,-1.65          ,-0.43                     ,41.83     ,40.05      ,41.08     ,46.95                ,16.60                   ,30.26   ,39.63                  ,-2.77          ,-0.26                     ,-2578.00   , 
BF/B  ,-0.59      ,45.65     ,355954    ,17.93                  ,17.31    ,17.85B    ,29             ,-0.61                     ,25.80     ,46.59     ,-0.27,-98.22      ,11.11                  ,-41.46            ,46.62                  ,Beverages                           ,NYSE    ,BROWN FORMAN CORP        ,Distillers & Vintners                ,0.73    ,45.88         ,45.65 ,1400    ,799496       ,950061      ,44.52                   ,37.47                  ,Yes       ,45.92 ,45.97 ,45.66 ,33.66                 ,1034401       ,881039     ,34.41                    ,40.40                 ,No                ,Consumer Staples      ,1.60          ,45.88     ,45.61 ,900     ,1035150     ,31.41                     ,34.39                  ,37.00M         ,No                  ,D  ,**       ,A                  ,11.11          ,5.56                  ,61.11           ,16.67                  ,5.56            ,18                ,3.00              ,1.07B     ,3.09B  ,1.07B   ,384.77M           ,2.65    ,2.61      ,1.61      ,1.74        ,1.53      ,1.38      ,1.19      ,4.95                        ,34.54   ,686.44            ,-0.23  ,-0.58                  ,-1.59                      ,-0.24                  ,-1.25                   ,+5.12                ,+89.24               ,-6.38                ,+0.88     ,46.56        ,49.04    ,5.58                   ,45.78     ,43.72    ,88.89                   ,2.35                         ,-0.50   ,+0.04 ,+0.49                  ,-0.02                 ,-0.99                  ,-0.52                    ,+2.52                ,+7.29                ,+3.19                ,+80.43            ,2               ,46.92     ,49.29   ,45.78       ,45.78   ,-1.89                ,0.32           ,-0.27    ,+0.09 ,-0.28                   ,-0.74                    ,-2.11                    ,-0.58                 ,-4.82                ,+36.78               ,-1.90                ,+23.42            ,48.25      ,51.55     ,45.78    ,43.72  ,0.36         ,48.00            ,-0.04         ,0.74              ,--                   ,17.58                    ,48.13           ,78.75        ,26.37                ,5.71     ,46.65     ,46.91     ,46.03      ,46.70     ,46.58      ,28.56                ,46.78     ,27.38                   ,1.78 ,47.57               ,-2.60                     ,0.59           ,46.53     ,46.94      ,46.72     ,46.70     ,46.62      ,43.64     ,47.52                ,23.61         ,3.34 ,-0.12      ,0.20           ,0.60                      ,46.62     ,46.09      ,46.65     ,44.90                ,16.92                   ,9.54    ,45.67                  ,-1.31          ,0.18                      ,-5008.12   , 
OMF   ,-0.78      ,24.15     ,405661    ,19.82                  ,15.31    ,3.29B     ,17             ,-1.58                     ,31.13     ,25.26     ,-0.48,-92.24      ,17.31                  ,-8.13             ,25.73                  ,Consumer Finance                    ,NYSE    ,ONEMAIN HOLDINGS INC     ,Consumer Finance                     ,--      ,24.35         ,24.12 ,200     ,397019       ,828590      ,102.18                  ,48.96                  ,No        ,24.34 ,24.58 ,24.16 ,42.04                 ,477638        ,745263     ,84.93                    ,54.43                 ,No                ,Financials            ,--            ,24.35     ,24.06 ,200     ,469260      ,75.92                     ,86.45                  ,9.85M          ,No                  ,C  ,--       ,--                 ,22.22          ,16.67                 ,55.56           ,5.56                   ,--              ,18                ,2.44              ,243.00M   ,3.90B  ,243.00M ,135.23M           ,1.59    ,1.59      ,-1.72     ,3.79        ,4.02      ,-0.19     ,-2.18     ,15.14                       ,10.18   ,209.11            ,-0.20  ,-0.54                  ,-5.37                      ,-0.76                  ,-3.00                   ,-52.00               ,0.00                 ,+8.90                ,+2.88     ,24.97        ,28.17    ,8.73                   ,23.87     ,16.03    ,82.69                   ,5.07                         ,-0.82   ,-0.01 ,+1.34                  ,-0.03                 ,-1.70                  ,-3.04                    ,+9.98                ,-1.19                ,+12.24               ,+8.27             ,2               ,25.46     ,28.69   ,24.11       ,23.87   ,-8.03                ,0.43           ,-0.19    ,-0.04 ,-0.39                   ,-1.38                    ,-6.53                    ,-0.75                 ,-9.41                ,0.00                 ,-19.71               ,+1.24             ,27.75      ,33.31     ,24.11    ,21.56  ,0.52         ,81.00            ,-0.09         ,0.66              ,--                   ,15.31                    ,2.86            ,455.28       ,6.43                 ,0.84     ,24.86     ,25.62     ,24.47      ,25.46     ,25.35      ,32.87                ,47.32     ,25.88                   ,7.76 ,27.68               ,-3.20                     ,0.60           ,25.20     ,26.02      ,25.38     ,25.44     ,25.50      ,45.04     ,47.74                ,24.63         ,16.07,-0.26      ,0.49           ,0.99                      ,25.73     ,23.70      ,25.37     ,45.75                ,15.65                   ,25.58   ,23.78                  ,-3.19          ,0.24                      ,-582.29    , 
